stage,tier,benchmark,method,setting,approx_fidelity,pauli_rot,qco_t,qco_clifford,note
original,,LiH,none,pyscf_lih_bk_hf,1,630,,,PySCF LiH sto3g active-space(6orb) + Bravyi-Kitaev; dt=0.05
original,,H2O,none,fast_baseline_no_phase_fold,1,1085,,,cpf_cache/fast; no slow phase folding
original,,N2,none,fast_baseline_no_phase_fold,1,2950,,,cpf_cache/fast; no slow phase folding
original,,H2S,none,fast_baseline_no_phase_fold,1,4581,,,cpf_cache/fast; no slow phase folding
original,,CO2,none,fast_baseline_no_phase_fold,1,16153,,,cpf_cache/fast; no slow phase folding
original,,Ising-2D-30,none,fast_baseline_no_phase_fold,1,79,,,cpf_cache/fast; no slow phase folding
original,,Ising-2D-60,none,fast_baseline_no_phase_fold,1,164,,,cpf_cache/fast; no slow phase folding
original,,Ising-3D-30,none,fast_baseline_no_phase_fold,1,89,,,cpf_cache/fast; no slow phase folding
original,,Ising-3D-60,none,fast_baseline_no_phase_fold,1,193,,,cpf_cache/fast; no slow phase folding
original,,Heisenberg-2D-30,none,fast_baseline_no_phase_fold,1,147,,,cpf_cache/fast; no slow phase folding
original,,Heisenberg-2D-60,none,fast_baseline_no_phase_fold,1,312,,,cpf_cache/fast; no slow phase folding
original,,Heisenberg-3D-30,none,fast_baseline_no_phase_fold,1,177,,,cpf_cache/fast; no slow phase folding
original,,Heisenberg-3D-60,none,fast_baseline_no_phase_fold,1,399,,,cpf_cache/fast; no slow phase folding
heuristic+final,F_gt_0.999,LiH,zero-sweep-heuristic,F>=0.999,0.999045308707,6,200,222,LiH+BK(hf); drop=624 snap=0
heuristic+final,F_gt_0.99,LiH,zero-sweep-heuristic,F>=0.99,0.995518423692,0,0,0,LiH+BK(hf); drop=630 snap=0
heuristic+final,F_gt_0.9,LiH,zero-sweep-heuristic,F>=0.9,0.995518423692,0,0,0,LiH+BK(hf); drop=630 snap=0
heuristic+final,F_gt_0.999,Ising-2D-30,zero-sweep-heuristic,F>=0.999,0.999093469406,73,2362,2937,fast; drop=6 snap=0
